ID,Genre,Artist,SongName,Mood,Year_of_Release,YouTubeURL
1,R'n'B,Solange,Dreams,Chill,2019,https://youtu.be/7t_Q3Eii1-o?si=Nru8e7jruruGeSBK 
2,HipHop,A Tribe Called Quest,Jazz (We've Got),Energising,1991,https://youtu.be/DvzOfm0ZhS8?si=Fk0aQst4Q2IQjUGS
3,Jazz,John Coltrane,Giant Steps,Energising,1960,https://youtu.be/KwIC6B_dvW4?si=9pFE-kK1GmWxS5IP 
4,Game OST,Stray Game | Full OST,Full OST,Chill,2022,https://youtu.be/nLa3dAYzkHo?si=e83n7GLVjkPTEHU6
5,Indie,Tame Impala,Nothing That Has Happened So Far Has Been Anything That We Could Control,Energising,2012,https://youtu.be/sBEfo73lOvk?si=U-ovoC5ycP_sQ1Lo
6,Classical,Claude Debussy,Arabesque No. 1,Chill,1888,https://youtu.be/Oa0lXuSt_CQ?si=x5433ttOhaGQBX3L
7,Ambient,Sleeptube - Hyponotic Relaxation,DELTA Waves [3Hz],Chill,2024,https://youtu.be/dwW37qt0rTM?si=_ykdnn6OLonoCgJD
8,Pop,Charlie xcx - ft. Billie Eilish,Guess,Energising,2024,https://youtu.be/huGd4efgdPA?si=ZKzEdGBUasNJLPtM
9,Drum & Bass,Adam F,Circles,Energising,1997,https://youtu.be/RaQ5myu2l9I?si=aka22w5PHo4wXK76
10,Soca,Machel Montano,Maddest Crew,Energising,2022,https://youtu.be/yYbOVgvM_Ic?si=7CG-OIsQxV0F51c6
11,Jungle,Roni Size,Brown Paper Bag,Energising,1997,https://youtu.be/UVTGs7dYLDY?si=yhfJ3D0ZTXKP4MBd
12,Electronic,Sophie,Ponyboy,Energising,2018,https://youtu.be/vRh-OVLOdcs?si=W8cAu2Wh7eJYJMJo
13,Folk,Fleet Foxes,Meadowlarks,Chill,2008,https://youtu.be/4yQTsLuiOI4?si=2e8JlfNdnbxea7Na
14,Dancehall,Elephant Man,Jump (ft. Swizz Beatz),Energising,2008,https://youtu.be/L95Ovr_-jsE?si=wD-tsMAMzj2q9UIg
15,Afrobeats,Fela Kuti,Water No Get Enemy,Energising,1975,https://youtu.be/IQBC5URoF0s?si=IkhlKyiiwUginSUh
16,Hardcore / Breakcore / Breakbeats,Aphex Twin,Windowlicker,Energising,1999,https://youtu.be/FATTzbm78cc?si=O8b0PAwynBBlAjSh
17,DJ Mixes,dedeco /// VGM DJ,Y2K TECHNO DJ MIX,Energising,2023,https://youtu.be/HlV5Vw5GE4E?si=4gR3HlQ_aDgN47k4
18,Live Performances,Beyonce's Beychella,Beychella (Live from Coachella Valley Music & Arts Festival 2018) [Remastered 60FPS],Energising,2018,https://youtu.be/ouaXMfzGjCo?si=421sYs9Q_3z1u5AB
19,Alternative,Thundercat,Tron Song,Chill,2013,https://youtu.be/XYGEEa4Qcis?si=BKeWfiNc17fPyMpi
20,R'n'B,Teezo Touchdown,Up and Down,Intimate,2024,https://youtu.be/aioEF_Bbh6c?si=atNF-7Xjw_uTbFvG
21,HipHop,Kendrick Lamar,"Sing About Me, I'm Dying of Thirst",Chill,2012,https://youtu.be/75wmW7xjyog?si=wP6WLNGRX5Ter2VO
22,Jazz,Kamasi Washington,Askim,Chill,2015,https://youtu.be/w8KlOnLRFko?si=BkE_wTOffsp3X7dD
23,Game OST,Gris,Gris OST,Chill,2021,https://youtu.be/I6rufOlNyYM?si=Q0QMDpHAs0aczQfq
24,Indie,Beck,Odelay - Full Album,Energising,1996,https://youtu.be/5sdQVVggJu4?si=pa-_dbD81aydBCcN
25,Classical,Antonin Dvo?�k,Best of Dvo?�k - Essential Classical Music,Chill,2004,https://youtu.be/rvigx5N-wu4?si=VzPsnwLZvaqdPww8
26,Ambient,Takeo Suzuki,Ambient Buddhism,Chill,2024,https://youtu.be/rbVXu4GRSUs?si=A3w-Xt4vSyLPTxt0
27,Pop,Spice Girls,Wannabe,Energising,1996,https://youtu.be/gJLIiF15wjQ?si=Zq14mbS_sR_XJZhe
28,Drum & Bass,jungletone.,Tekken | Ambient DnB,Energising,2024,https://youtu.be/Si6phUXOH2g?si=liISRWMB9lU4Cxze
29,Soca,ScottchBonnet,Soca 2024 Summer Mix,Energising,2024,https://youtu.be/6Jh_IASWemM?si=UB53icFmdHIPQUGV
30,Jungle,DJ Randall,MixMag: The Lab LDN,Energising,2016,https://www.youtube.com/live/UgK8h9xRFls?si=YNN4HU-Eq4DIOCpQ
31,Electronic,Bjork,Pluto,Energising,1997,https://youtu.be/8-QNxD56p_U?si=TjA5yBCPzGxnzgI9
32,Folk,NUMA,Tranquillitas,Chill,2019,https://youtu.be/apXkd39xDVI?si=7SZgYYg7HWNV56G7
33,Dancehall,Shenseea,"Hit & Run, ft. Masicka, Di Genius",Energising,2024,https://youtu.be/rJwEphsNVH8?si=wp6as7pzsA9Rkxat
34,Afrobeats,Burna Boy,African Giant - Live from London (YouTube Live Stream),Energising,2024,https://www.youtube.com/live/7of6faOge2o?si=5jaBgXF9fVYsp81J
35,Hardcore / Breakcore / Breakbeats,Hebbs,90's Breakbeat Vinyl Mix,Energising,2015,https://youtu.be/nwxvkLa1sKc?si=Vfo4-oP4sDJxtg1W
36,DJ Mixes,Sama' Abdulhadi,Boiler Room Palestine,Energising,2019,https://youtu.be/x9VYKrtziSg?si=mN7PYDchUWMOC751
